trial_id,phase,image_type,image_attribute,image_position,original_index,image_src,start_time,end_time,duration,first_gaze_x,first_gaze_y,last_gaze_x,last_gaze_y,gaze_samples,dwell_time,first_fixation,regression_count
19,food,food,14_high_calorie,left,14,f/14.jpg,1757665812185,1757665818232,6047,1088.7737475024066,556.0652518155016,726.999889602073,582.051288200933,133,220,-1,7
22,food,food,16_high_calorie,left,16,f/16.jpg,1757665821045,1757665827103,6058,764.6880842021334,530.2399697531723,827.4469125575139,627.1612065655222,132,640,-1,7
25,food,food,2_low_calorie,left,2,f/2.jpg,1757665830122,1757665836174,6052,967.6543883674769,592.1470954598166,1052.29271996265,394.2800194920388,132,420,1,5
28,food,food,13_high_calorie,left,13,f/13.jpg,1757665839198,1757665845260,6062,1012.5153401089412,421.48263393393637,853.3218061948137,525.1048354352024,129,240,-1,7
31,food,food,15_high_calorie,left,15,f/15.jpg,1757665848070,1757665854130,6060,826.4635106863803,448.6227309699186,657.1507947886076,486.25904331371777,133,1000,-1,2
34,food,food,20_high_calorie,left,20,f/20.jpg,1757665857352,1757665863393,6041,601.7730753684195,446.6959552431643,905.4300962821994,476.63453970058544,133,-1820,1,1
37,food,food,8_low_calorie,left,8,f/8.jpg,1757665866417,1757665872449,6032,766.9605401814797,480.22911928534995,975.278406282487,581.6389364340414,135,600,1,7
40,food,food,12_high_calorie,left,12,f/12.jpg,1757665875658,1757665881704,6046,807.9986906247076,526.916934169396,518.7739251402485,394.8207435320506,133,2440,-1,3
43,food,food,19_high_calorie,left,19,f/19.jpg,1757665884522,1757665890574,6052,601.7778786537081,423.9327201401372,510.42132171363215,420.6571970414616,131,1820,1,3
46,food,food,17_high_calorie,left,17,f/17.jpg,1757665893797,1757665899848,6051,654.1296982575652,481.8679599543665,1176.8504769666206,558.3406295062207,135,-1160,1,11
49,food,food,3_low_calorie,left,3,f/3.jpg,1757665903061,1757665909119,6058,945.0371796243957,595.5636139502114,528.9670654288153,363.66173989263206,136,-760,1,7
52,food,food,10_high_calorie,left,10,f/10.jpg,1757665911946,1757665917999,6053,449.8811383242046,416.1353947705682,809.9399756158892,468.78276984034176,136,180,1,7
55,food,food,1_low_calorie,left,1,f/1.jpg,1757665920811,1757665926861,6050,814.078502155705,510.9914052636876,762.3244427490255,477.76618302307566,135,-520,1,7
58,food,food,6_low_calorie,left,6,f/6.jpg,1757665930082,1757665936132,6050,669.4940815623715,533.4798303226419,871.0090839339167,486.1532644533332,135,1000,-1,11
61,food,food,5_low_calorie,left,5,f/5.jpg,1757665939350,1757665945389,6039,775.1448873243647,445.48156402950025,977.713434671187,472.91997170346514,135,100,1,9
64,food,food,11_high_calorie,left,11,f/11.jpg,1757665948608,1757665954660,6052,821.7918340089803,472.8932454558543,476.8576526011303,531.9943349534236,131,220,-1,2
67,food,food,7_low_calorie,left,7,f/7.jpg,1757665957683,1757665963740,6057,475.812440793851,466.61777652803926,582.02002976799,383.53274777420154,132,1060,-1,2
70,food,food,9_high_calorie,left,9,f/9.jpg,1757665966959,1757665973014,6055,601.4724281893656,398.97835387840746,846.9745873047477,577.6839235718705,134,1040,1,11
73,food,food,18_high_calorie,left,18,f/18.jpg,1757665975825,1757665981862,6037,837.0151562540427,592.0980972746345,573.5599922450392,495.630705208296,130,1780,-1,2
76,food,food,4_low_calorie,left,4,f/4.jpg,1757665985081,1757665991139,6058,528.8857429387301,423.644034745229,385.70035799414813,726.8957038141949,132,20,-1,1
88,body,body,23_thin,left,23,b/23.jpg,1757666083098,1757666089162,6064,858.1890406185462,423.15836606022367,497.4504881892791,358.7615010245941,128,-320,1,10
91,body,body,9_fat,left,9,b/9.jpg,1757666092376,1757666098433,6057,261.5396446828179,273.72530206473994,677.549671595026,429.6258040389254,128,340,0,18
94,body,body,7_fat,left,7,b/7.jpg,1757666101452,1757666107504,6052,847.5438102566333,389.795587461089,1348.119625873383,409.66014710243235,132,180,-1,20
97,body,body,17_thin,left,17,b/17.jpg,1757666110325,1757666116357,6032,890.7919742208414,375.49927820317623,660.4748209229431,363.830967556719,132,40,1,20
100,body,body,25_thin,left,25,b/25.jpg,1757666119371,1757666125429,6058,554.3773582646842,285.73711733561606,1134.06322595534,339.5917560611793,128,160,0,28
103,body,body,1_fat,left,1,b/1.jpg,1757666128440,1757666134472,6032,678.1267931090093,298.332865741705,1070.8325417192282,437.2237095227568,126,180,1,25
106,body,body,20_thin,left,20,b/20.jpg,1757666137285,1757666143331,6046,904.952530929448,412.6125539964919,281.69237329853877,189.59035627937334,128,-340,1,11
109,body,body,19_thin,left,19,b/19.jpg,1757666146346,1757666152409,6063,417.07712807705406,278.3824713747263,568.9507070327379,295.8449729228389,129,-600,0,19
112,body,body,15_thin,left,15,b/15.jpg,1757666155417,1757666161456,6039,499.5817654238577,251.2785696723135,651.6209839101894,349.94998842018657,129,-220,0,15
