trial_id,phase,image_type,image_attribute,image_position,original_index,image_src,start_time,end_time,duration,first_gaze_x,first_gaze_y,last_gaze_x,last_gaze_y,gaze_samples
18,food,food,high_calorie,left,10,f/10.jpg,1756303060295,1756303066390,6095,769.8770896667851,354.11165656065094,789.4806589108132,386.36417145202387,74
21,food,food,high_calorie,left,17,f/17.jpg,1756303069398,1756303075468,6070,783.3087851784024,362.8299613417431,775.7865601566367,325.3480512320172,83
24,food,food,low_calorie,left,2,f/2.jpg,1756303078493,1756303084555,6062,721.1686617156386,329.33514619467894,747.6209907466655,397.0945251284103,88
27,food,food,high_calorie,left,11,f/11.jpg,1756303087371,1756303093501,6130,742.6162010321536,389.731814460701,536.1407932239756,246.16424916052227,69
30,food,food,low_calorie,left,3,f/3.jpg,1756303096720,1756303102802,6082,654.048196544722,286.96103914275864,710.3621115862165,281.8021149685704,76
33,food,food,low_calorie,left,6,f/6.jpg,1756303105825,1756303111901,6076,664.251493618362,245.33933032141633,967.4746441418342,253.48989505765934,82
36,food,food,low_calorie,left,1,f/1.jpg,1756303114708,1756303120871,6163,918.4133320123094,233.65782031210628,889.7891724972909,264.37320921258186,87
39,food,food,high_calorie,left,16,f/16.jpg,1756303123890,1756303130024,6134,813.1931657727137,269.3101999506907,644.8608612745148,282.4909609789448,86
42,food,food,high_calorie,left,20,f/20.jpg,1756303132850,1756303138906,6056,737.5561307840178,275.6455472448913,582.3194083776075,233.9309985618098,86
45,food,food,high_calorie,left,18,f/18.jpg,1756303141920,1756303148011,6091,618.7081918122293,230.3744992264115,538.2923476576558,192.62955153091838,89
48,food,food,high_calorie,left,13,f/13.jpg,1756303151225,1756303157295,6070,588.9420261634118,230.0173640610754,545.0266474509838,196.64769186646723,79
51,food,food,low_calorie,left,7,f/7.jpg,1756303160513,1756303166584,6071,636.0503285549157,212.83752886520287,747.4987050528932,144.22062873652126,83
54,food,food,low_calorie,left,5,f/5.jpg,1756303169593,1756303175683,6090,717.0214757504083,118.19301979652889,775.5169336495352,236.50672256201074,83
57,food,food,high_calorie,left,9,f/9.jpg,1756303178505,1756303184610,6105,633.7817072878939,234.09806057410745,555.9766187200767,212.80514703144684,66
60,food,food,high_calorie,left,15,f/15.jpg,1756303187440,1756303193592,6152,614.3609534838197,223.17506113232048,443.69080027290227,31.031300268189412,72
63,food,food,low_calorie,left,8,f/8.jpg,1756303196603,1756303202681,6078,597.235391156635,59.24997143986843,835.5635434199181,250.40754543208809,83
66,food,food,high_calorie,left,12,f/12.jpg,1756303205890,1756303212024,6134,709.5414712705976,241.02511675094323,504.97736061631826,207.37337957525983,61
69,food,food,high_calorie,left,14,f/14.jpg,1756303214859,1756303220967,6108,496.43673258529503,248.37031390738446,539.894108261896,291.8922806355816,53
72,food,food,low_calorie,left,4,f/4.jpg,1756303223982,1756303230064,6082,575.855531950994,281.5133912228292,731.6544347078676,221.92032815096894,85
75,food,food,high_calorie,left,19,f/19.jpg,1756303233092,1756303239161,6069,661.7952473056367,292.5360587580627,599.9634693431344,190.76886038581486,83
78,body,body,fat,left,11,b/11.jpg,1756303242447,1756303248524,6077,708.5685973487036,198.8090096529498,856.8477374404503,133.65355108720996,65
