trial_id,phase,image_type,image_attribute,image_position,original_index,image_src,start_time,end_time,duration,first_gaze_x,first_gaze_y,last_gaze_x,last_gaze_y,gaze_samples,dwell_time,first_fixation,regression_count
19,food,food,16_high_calorie,left,16,f/16.jpg,1758868652603,1758868658628,6025,877.7132755375528,593.4268704575481,988.8268650795538,630.7171017383677,206,-360,-1,6
22,food,food,20_high_calorie,left,20,f/20.jpg,1758868661434,1758868667464,6030,924.1470042133371,598.4526470978528,625.3619066847167,728.6362071205332,205,-2360,-1,8
25,food,food,19_high_calorie,left,19,f/19.jpg,1758868670474,1758868676508,6034,741.4162857187843,667.6074858978359,1096.6510064328977,628.3782198862758,207,-1480,-1,16
28,food,food,3_low_calorie,left,3,f/3.jpg,1758868679314,1758868685352,6038,1026.9698491803392,571.1117310383331,1047.2752328596787,538.9127354983332,209,2280,1,10
31,food,food,13_high_calorie,left,13,f/13.jpg,1758868688161,1758868694184,6023,1019.1879595025054,592.7284641877909,690.2210089152552,587.3095896689574,202,-1400,-1,21
34,food,food,10_high_calorie,left,10,f/10.jpg,1758868696988,1758868703020,6032,795.2978804951772,606.1195015476408,821.3836468014198,596.5896577013913,207,-2480,-1,21
37,food,food,9_high_calorie,left,9,f/9.jpg,1758868706029,1758868712059,6030,847.6433688376034,631.2771895135921,649.0665989538185,642.9448240105487,207,-1660,-1,3
40,food,food,7_low_calorie,left,7,f/7.jpg,1758868715272,1758868721308,6036,766.0344195259964,627.9256939031746,850.4841794968138,593.1027700716096,202,1880,1,5
43,food,food,12_high_calorie,left,12,f/12.jpg,1758868724115,1758868730145,6030,773.7948190401338,586.3463199157804,880.6115911438312,594.2100219453955,206,-2060,-1,13
46,food,food,15_high_calorie,left,15,f/15.jpg,1758868732954,1758868738984,6030,830.5714226709457,598.770180130376,813.6298618576418,515.1552746285687,208,-3560,-1,3
49,food,food,18_high_calorie,left,18,f/18.jpg,1758868741994,1758868748016,6022,878.5151783586062,484.27898833808086,665.6478675346208,452.5211191287577,202,-2200,-1,24
