trial_id,phase,image_type,image_attribute,image_position,original_index,image_src,start_time,end_time,duration,first_gaze_x,first_gaze_y,last_gaze_x,last_gaze_y,gaze_samples,dwell_time,first_fixation,regression_count
15,food,food,7_low_calorie,left,7,f/7.jpg,1756794921334,1756794927358,6024,664.806224372812,445.08858584248344,754.1729385186201,362.70861560703923,235,1820,1,4
18,food,food,5_low_calorie,left,5,f/5.jpg,1756794930579,1756794936602,6023,688.6395296414431,411.1560923562992,738.3240478080868,460.35798311588826,221,1500,1,1
21,food,food,15_high_calorie,left,15,f/15.jpg,1756794939605,1756794945619,6014,698.060420220759,447.89672344886185,607.1272161227023,555.4738405360571,234,500,-1,0
24,food,food,1_low_calorie,left,1,f/1.jpg,1756794948836,1756794954864,6028,631.6696369605124,520.3967606091858,825.6786327775272,471.29277499661134,248,-280,1,6
27,food,food,17_high_calorie,left,17,f/17.jpg,1756794957876,1756794963898,6022,733.956353466389,470.0889113889379,451.59069451678755,443.32151402216255,239,1560,-1,2
30,food,food,20_high_calorie,left,20,f/20.jpg,1756794966721,1756794972750,6029,505.5911156873683,421.63685973668447,720.8341810210687,498.91615189228406,232,-2200,1,6
33,food,food,2_low_calorie,left,2,f/2.jpg,1756794975957,1756794981988,6031,688.2601549327045,504.10383949306333,565.8239482303886,477.4108145133774,248,1080,1,0
36,food,food,13_high_calorie,left,13,f/13.jpg,1756794984993,1756794991023,6030,546.8906543205089,432.5973839915888,376.61211314580476,493.4445563635498,260,-2720,1,6
39,food,food,9_high_calorie,left,9,f/9.jpg,1756794994045,1756795000070,6025,412.68150097203477,432.3945706811631,706.4141156051035,474.9501624236741,234,-500,1,8
42,food,food,6_low_calorie,left,6,f/6.jpg,1756795003284,1756795009309,6025,624.3878776131628,500.90637392917364,509.752246762962,437.9284543048531,248,3160,1,4
45,food,food,14_high_calorie,left,14,f/14.jpg,1756795012119,1756795018141,6022,561.09011025054,461.64844513829155,411.02053687168865,499.4282913810325,257,280,1,2
48,food,food,11_high_calorie,left,11,f/11.jpg,1756795020948,1756795026985,6037,488.7698423242286,468.4647185653974,378.12566435787903,469.43517399129024,238,2380,1,13
51,food,food,12_high_calorie,left,12,f/12.jpg,1756795030205,1756795036228,6023,443.73095852346665,472.97384361264875,346.2020587793351,431.66678656009816,216,2360,1,2
54,food,food,4_low_calorie,left,4,f/4.jpg,1756795039236,1756795045268,6032,426.80245705042745,438.09430951233344,719.2103789448172,483.5473824080442,254,-3380,-1,2
57,food,food,18_high_calorie,left,18,f/18.jpg,1756795048293,1756795054315,6022,512.9330350746353,481.09989796827205,390.81242841668444,488.8255323309576,253,2360,1,4
60,food,food,19_high_calorie,left,19,f/19.jpg,1756795057533,1756795063560,6027,474.78942775555674,491.23271122419527,536.0819001133085,465.6884857159337,238,-120,1,3
63,food,food,10_high_calorie,left,10,f/10.jpg,1756795066373,1756795072400,6027,499.89842342299283,460.1765951969688,292.0840397497163,421.4598312914518,252,3160,1,2
66,food,food,8_low_calorie,left,8,f/8.jpg,1756795075424,1756795081462,6038,366.80926025946405,438.44238152406444,755.2451951831284,475.20604295014647,232,-480,-1,3
69,food,food,16_high_calorie,left,16,f/16.jpg,1756795084681,1756795090709,6028,670.7612121055786,457.3188855485333,457.82930583136056,502.2841696412513,254,3020,-1,0
72,food,food,3_low_calorie,left,3,f/3.jpg,1756795093517,1756795099547,6030,453.21407850284544,475.72558768399114,570.5296514574729,419.6911309502444,238,1180,-1,13
81,body,body,13_thin,left,13,b/13.jpg,1756795160041,1756795166065,6024,857.5569114756731,420.3571903456157,526.648447400805,373.33041237582654,239,-740,0,13
84,body,body,24_thin,left,24,b/24.jpg,1756795169081,1756795175103,6022,583.7908497936683,385.47707537500577,701.6240692410885,411.9971325510347,248,-660,1,16
87,body,body,3_fat,left,3,b/3.jpg,1756795177915,1756795183948,6033,660.5775641413508,430.46317675011557,628.0963350434356,363.54375966775984,236,-2420,-1,18
90,body,body,12_thin,left,12,b/12.jpg,1756795187167,1756795193198,6031,586.9484287317528,343.4703486332579,595.5726567807119,426.3125221388575,240,2560,1,19
93,body,body,5_fat,left,5,b/5.jpg,1756795196213,1756795202231,6018,596.666672711291,411.1332628215422,711.1461068891479,411.6326400278222,253,-2540,-1,17
96,body,body,10_fat,left,10,b/10.jpg,1756795205247,1756795211273,6026,686.3863654000673,390.4979622492509,701.752203175024,418.3213043176704,249,-3140,-1,19
99,body,body,6_fat,left,6,b/6.jpg,1756795214278,1756795220310,6032,661.0994446812616,399.76708315548984,751.7177468479076,520.1912365699837,231,-1520,-1,27
102,body,body,7_fat,left,7,b/7.jpg,1756795223331,1756795229362,6031,678.1094075353604,464.70962344949527,687.7843340976585,401.7817177580002,253,-3120,-1,23
105,body,body,25_thin,left,25,b/25.jpg,1756795232585,1756795238609,6024,740.3120537085634,413.6816815962809,901.1166112686508,485.3561128704381,251,4200,1,14
108,body,body,11_fat,left,11,b/11.jpg,1756795241826,1756795247852,6026,813.5620385023094,429.5160384240239,689.3181105384899,341.49541491738023,236,-2780,0,17
111,body,body,8_fat,left,8,b/8.jpg,1756795251061,1756795257089,6028,657.3247986129534,365.162989603532,596.1602225280972,367.2912285221564,258,-2700,-1,28
114,body,body,22_thin,left,22,b/22.jpg,1756795260310,1756795266333,6023,690.1602275653112,379.03394422383445,811.4659757312041,378.3328496066233,252,3980,1,17
117,body,body,16_thin,left,16,b/16.jpg,1756795269348,1756795275375,6027,836.1055614505589,391.1730109709861,716.7824878792617,399.84839540342165,249,2480,0,10
120,body,body,21_thin,left,21,b/21.jpg,1756795278192,1756795284219,6027,691.1483844041193,430.4986639327374,844.421889130729,388.13264335975424,241,1300,1,5
123,body,body,23_thin,left,23,b/23.jpg,1756795287422,1756795293443,6021,863.3515348063886,416.55364224054057,855.9009661744549,426.22722974025066,253,2400,0,3
126,body,body,1_fat,left,1,b/1.jpg,1756795296454,1756795302473,6019,843.0005086889133,393.709889719748,771.0468478186502,405.7543379396839,253,-1400,0,5
129,body,body,14_thin,left,14,b/14.jpg,1756795305680,1756795311710,6030,741.9965677151268,408.72004324606934,795.8067796365414,385.81476861090545,237,2100,1,5
132,body,body,2_fat,left,2,b/2.jpg,1756795314924,1756795320951,6027,813.2702177506687,403.952842160377,779.9584481465116,349.2496488206405,252,-3120,0,3
135,body,body,4_fat,left,4,b/4.jpg,1756795324171,1756795330188,6017,778.7843980047708,346.7453709385508,843.3292377755639,369.1366531629444,251,-1460,0,10
138,body,body,19_thin,left,19,b/19.jpg,1756795333197,1756795339226,6029,799.4301075728262,402.75511151482266,790.0245246331807,413.3313572453621,267,2640,0,8
141,body,body,15_thin,left,15,b/15.jpg,1756795342251,1756795348277,6026,772.6822146296644,394.73867612453597,737.5270737331421,404.8693828272,227,2160,0,6
144,body,body,18_thin,left,18,b/18.jpg,1756795351093,1756795357116,6023,796.1716086629159,402.2976844746169,742.1157581078869,417.43692114757954,247,1900,0,7
147,body,body,9_fat,left,9,b/9.jpg,1756795359926,1756795365947,6021,780.259022550586,414.56807488167374,898.1618712198,485.0509357156419,255,-560,0,7
150,body,body,20_thin,left,20,b/20.jpg,1756795368765,1756795374782,6017,821.954810430795,441.0628941511638,823.5736892229096,412.99198803231,238,2720,0,5
153,body,body,17_thin,left,17,b/17.jpg,1756795377996,1756795384012,6016,800.8808216874975,394.4001987811306,806.6058093846239,487.767793872103,230,300,0,4
