trial_id,phase,image_type,image_attribute,image_position,original_index,image_src,start_time,end_time,duration,first_gaze_x,first_gaze_y,last_gaze_x,last_gaze_y,gaze_samples,dwell_time,first_fixation,regression_count
18,food,food,5_low_calorie,left,5,f/5.jpg,1756761384715,1756761390730,6015,1221.3454171388203,-94.41955776224479,1574.0921171659784,-584.8106854240258,227,1380,0,16
21,food,food,6_low_calorie,left,6,f/6.jpg,1756761393737,1756761399743,6006,1510.3260797975436,-481.8164643149556,1018.5805309019793,507.9994760733225,277,1600,0,27
24,food,food,15_high_calorie,left,15,f/15.jpg,1756761402954,1756761408983,6029,1025.9877539068502,816.9151395647618,1115.7828590688705,670.1734990202382,239,0,0,0
27,food,food,16_high_calorie,left,16,f/16.jpg,1756761411802,1756761417808,6006,1042.601511186329,675.8166123349574,1140.8705957448253,440.07192068155535,289,-40,0,0
30,food,food,7_low_calorie,left,7,f/7.jpg,1756761420631,1756761427337,6706,1037.7762130137555,91.08671878023581,843.853242743124,534.4941141540334,29,60,0,0
33,food,food,3_low_calorie,left,3,f/3.jpg,1756761432295,1756761438321,6026,610.9847740389622,436.3984866576038,905.6594476715006,115.81584518654158,6,20,1,0
36,food,food,11_high_calorie,left,11,f/11.jpg,1756761442299,1756761448337,6038,879.5575712579516,252.05025251467058,715.5726504689278,445.533968197214,8,-80,0,0
39,food,food,12_high_calorie,left,12,f/12.jpg,1756761453289,1756761459302,6013,787.5785415009599,366.2306830511974,146.19285652867873,259.2528786404018,211,-400,0,4
42,food,food,2_low_calorie,left,2,f/2.jpg,1756761462107,1756761468116,6009,294.06244069200227,397.07999177559617,-33.21388573578329,758.6262247418821,295,-2920,0,19
45,food,food,20_high_calorie,left,20,f/20.jpg,1756761470933,1756761476950,6017,417.08983807129306,643.8415050394345,560.1438060772016,801.2745570893962,234,1480,0,12
48,food,food,4_low_calorie,left,4,f/4.jpg,1756761479957,1756761485984,6027,623.2675837700165,734.2300003140854,627.5900332061998,240.43189956462453,245,-1240,-1,16
51,food,food,14_high_calorie,left,14,f/14.jpg,1756761489000,1756761495033,6033,618.8367917140005,-0.23987754684125662,204.145456834635,-151.8088206880384,205,-760,0,17
54,food,food,13_high_calorie,left,13,f/13.jpg,1756761498242,1756761504280,6038,776.5908773176802,12.68854119762122,1128.6503525404996,-76.89630148159543,204,-260,0,2
57,food,food,9_high_calorie,left,9,f/9.jpg,1756761507283,1756761513314,6031,938.9295534038554,68.76735394847181,896.0486169324406,964.4763474911325,270,-860,0,20
60,food,food,18_high_calorie,left,18,f/18.jpg,1756761516531,1756761522546,6015,940.9981986873476,579.28317834749,884.7449577329666,315.1390011957943,235,520,-1,37
63,food,food,10_high_calorie,left,10,f/10.jpg,1756761525360,1756761531374,6014,864.2386866707449,329.6200059359325,747.4966706843014,1021.385313338179,289,3520,-1,19
66,food,food,8_low_calorie,left,8,f/8.jpg,1756761534394,1756761540432,6038,822.7589241658029,700.0678064093875,1071.8538798301875,428.73394979887854,208,-580,-1,30
69,food,food,17_high_calorie,left,17,f/17.jpg,1756761543447,1756761549478,6031,939.0031770875174,428.2667166208303,345.84210394857007,577.8462430557703,260,3840,-1,9
72,food,food,1_low_calorie,left,1,f/1.jpg,1756761552709,1756761558748,6039,229.28873870543597,608.0416807851235,192.71398035295186,718.4365748994428,257,-420,0,3
75,food,food,19_high_calorie,left,19,f/19.jpg,1756761561772,1756761567819,6047,247.04024993227125,621.3171651610402,611.2707683455418,621.4823829530359,278,1180,0,6
87,body,body,16_thin,left,16,b/16.jpg,1756761634690,1756761640705,6015,1513.2402964408157,-93.33975732804144,1373.6647525601659,672.3661759964043,296,280,0,6
90,body,body,13_thin,left,13,b/13.jpg,1756761643519,1756761649547,6028,1466.8110596724769,639.7425017160266,1141.8847490091177,445.50100656352544,236,640,0,18
93,body,body,25_thin,left,25,b/25.jpg,1756761652365,1756761658376,6011,1139.023146226713,486.8658206981895,723.6378530714697,986.4289536259085,295,420,0,45
96,body,body,23_thin,left,23,b/23.jpg,1756761661379,1756761667395,6016,802.8571925644648,899.0280088347031,970.7850597187121,153.98703432080384,209,280,0,36
99,body,body,14_thin,left,14,b/14.jpg,1756761670210,1756761676239,6029,1007.5353491064375,32.25845662200443,405.4393609217459,664.8044612822305,250,60,0,6
102,body,body,22_thin,left,22,b/22.jpg,1756761679258,1756761685269,6011,564.7777500930517,459.621006643164,1271.9216551945253,-361.85823739115494,154,100,0,4
105,body,body,7_fat,left,7,b/7.jpg,1756761688278,1756761694303,6025
108,body,body,20_thin,left,20,b/20.jpg,1756761697119,1756761703129,6010
111,body,body,18_thin,left,18,b/18.jpg,1756761706156,1756761712175,6019
114,body,body,24_thin,left,24,b/24.jpg,1756761714986,1756761721003,6017
117,body,body,4_fat,left,4,b/4.jpg,1756761724212,1756761730221,6009
120,body,body,11_fat,left,11,b/11.jpg,1756761733235,1756761739275,6040,1134.6802462289447,-292.47990420515487,942.0836250464079,1018.7413029963488,90,-20,0,1
123,body,body,19_thin,left,19,b/19.jpg,1756761742298,1756761748326,6028,229.7488994421766,753.191947384121,-77.5529952467409,940.4213914162767,207,-240,0,5
126,body,body,2_fat,left,2,b/2.jpg,1756761751134,1756761757166,6032,-66.37417082826347,852.4806627308072,72.9606940754229,467.0356023649344,261,100,0,15
129,body,body,3_fat,left,3,b/3.jpg,1756761759978,1756761765993,6015,-6.683365332031407,687.4118534207266,618.9191148153194,197.83106803636483,270,460,0,10
132,body,body,17_thin,left,17,b/17.jpg,1756761769195,1756761775215,6020,864.6136547803175,374.66971457896636,-303.23456096672396,719.3046606006351,283,-20,1,2
135,body,body,15_thin,left,15,b/15.jpg,1756761778035,1756761784048,6013,-72.3384808992644,531.3935362470311,-14.465567874850997,462.0829782770624,256,-300,0,25
138,body,body,12_thin,left,12,b/12.jpg,1756761787067,1756761793106,6039,5.76145964513907,635.5867446240587,320.8499159079345,343.57407505075093,208,0,0,12
141,body,body,8_fat,left,8,b/8.jpg,1756761796120,1756761802138,6018,558.4107932200021,452.4267377534612,712.0419494365073,188.45389320768686,295,120,0,8
144,body,body,10_fat,left,10,b/10.jpg,1756761805148,1756761811175,6027,946.824743396552,378.7226950955333,-288.9129017836469,1013.2476050877619,211,-180,-1,5
147,body,body,5_fat,left,5,b/5.jpg,1756761813992,1756761820028,6036,-51.7009008955352,969.0083017638858,-760.788367586038,703.6868639973966,269,0,0,0
150,body,body,9_fat,left,9,b/9.jpg,1756761823044,1756761829061,6017,62.906212806131975,692.2697190595903,849.5723899516765,249.52976359335088,209,-400,0,16
153,body,body,1_fat,left,1,b/1.jpg,1756761832079,1756761838115,6036,697.5364470021259,243.72140528827995,752.3442656938048,336.9388084134329,280,180,1,44
156,body,body,6_fat,left,6,b/6.jpg,1756761840924,1756761846929,6005,539.9955782707607,488.3620347061631,271.1129026680791,454.75514157473145,242,200,0,13
