trial_id,phase,image_type,image_attribute,image_position,original_index,image_src,start_time,end_time,duration,first_gaze_x,first_gaze_y,last_gaze_x,last_gaze_y,gaze_samples
18,food,food,low_calorie,left,6,f/6.jpg,1756176225421,1756176231453,6032,764.4867737975852,464.8107089527944,605.8414130478676,448.25452786437984,255
21,food,food,high_calorie,left,15,f/15.jpg,1756176234467,1756176240490,6023,702.4643218079149,416.50915981098933,937.5031184742347,438.2055618994546,251
24,food,food,low_calorie,left,3,f/3.jpg,1756176243508,1756176249528,6020,845.0154274632703,419.96512571212924,555.3427219062462,502.4891898333913,256
27,food,food,high_calorie,left,17,f/17.jpg,1756176252543,1756176258574,6031,636.8245660823354,457.39198971853455,900.2236991291134,494.9799428889204,270
30,food,food,high_calorie,left,12,f/12.jpg,1756176261780,1756176267822,6042,711.8754543051326,462.27890582494604,965.2118638944264,489.47024135830947,268
33,food,food,low_calorie,left,4,f/4.jpg,1756176271037,1756176277052,6015,867.9739788361028,413.1860641226384,655.3863505361412,435.29970000884424,213
36,food,food,high_calorie,left,16,f/16.jpg,1756176280260,1756176286285,6025,719.4557863091017,433.7795396003686,932.3878605723164,473.1950510201456,220
39,food,food,high_calorie,left,14,f/14.jpg,1756176289101,1756176295122,6021,805.7235795486569,433.8286124253596,612.3804723934812,407.4407804496151,283
42,food,food,low_calorie,left,2,f/2.jpg,1756176298126,1756176304143,6017,721.1157438961785,386.39223700108556,808.0954590610154,423.27929224036154,279
45,food,food,low_calorie,left,8,f/8.jpg,1756176307348,1756176313365,6017,818.1381966168401,405.4271697285297,875.0483451319202,513.712797614225,286
48,food,food,low_calorie,left,7,f/7.jpg,1756176316593,1756176322660,6067,820.0066425893827,500.01072251846495,1072.5354296023843,452.53598097852193,275
51,food,food,high_calorie,left,18,f/18.jpg,1756176325687,1756176331702,6015,984.7521642218402,464.474815899969,1041.1641897382872,458.29228935133085,290
54,food,food,high_calorie,left,20,f/20.jpg,1756176334513,1756176340528,6015,868.9059197730304,442.6898637731381,858.3071432023762,447.89304711687515,293
57,food,food,low_calorie,left,1,f/1.jpg,1756176343541,1756176349558,6017,786.4886483722407,421.56813694006553,403.63072405782464,334.41617197021174,291
60,food,food,high_calorie,left,19,f/19.jpg,1756176352373,1756176358391,6018,423.7180293103197,309.6187008696022,445.47805052958256,410.1165065290464,284
63,food,food,low_calorie,left,5,f/5.jpg,1756176361607,1756176367622,6015,575.4376704161341,361.4599497073457,656.082970810579,400.47255802053866,284
