trial_id,phase,image_type,image_attribute,image_position,original_index,image_src,start_time,end_time,duration,first_gaze_x,first_gaze_y,last_gaze_x,last_gaze_y,gaze_samples
15,food,food,high_calorie,left,11,f/11.jpg,1756310568489,1756310574491,6002,906.7598830722218,474.0980171115266,594.2027542897578,647.9026637142582,97
18,food,food,high_calorie,left,12,f/12.jpg,1756310577697,1756310583699,6002,704.8686975586174,614.0215154896409,726.2056140689584,457.6243870434911,97
21,food,food,low_calorie,left,5,f/5.jpg,1756310586705,1756310592707,6002,696.9404902018069,669.3032519236016,666.4570633357583,576.7033430809332,97
24,food,food,low_calorie,left,6,f/6.jpg,1756310595919,1756310601962,6043,714.4871622456635,729.3729767019233,959.6433414071802,625.6167130668028,98
27,food,food,high_calorie,left,17,f/17.jpg,1756310604798,1756310610846,6048,758.4240952232896,823.9597403689553,968.8029643603054,568.9760006736273,98
30,food,food,high_calorie,left,14,f/14.jpg,1756310613888,1756310619934,6046,803.7882244411135,676.6333950040004,625.9811188467138,613.4762359211946,98
33,food,food,high_calorie,left,13,f/13.jpg,1756310622978,1756310629025,6047,712.1395233238375,569.9120135390718,907.9468683863378,641.867691251147,98
36,food,food,high_calorie,left,16,f/16.jpg,1756310632277,1756310638323,6046,766.5892079235118,698.3436963317654,882.0095629321991,543.5007162082366,98
39,food,food,high_calorie,left,15,f/15.jpg,1756310641156,1756310647200,6044,808.6658899478597,593.3507924283357,787.1448118855953,702.2074016212545,98
42,food,food,low_calorie,left,2,f/2.jpg,1756310650036,1756310656083,6047,748.5998315521888,691.8135822718307,505.8581025723072,784.2430201757894,98
45,food,food,high_calorie,left,19,f/19.jpg,1756310659335,1756310665382,6047,666.575806466918,741.0610439056388,941.8383836897917,762.4159539159048,98
48,food,food,high_calorie,left,18,f/18.jpg,1756310668215,1756310674260,6045,829.0311792073624,630.3822136968619,564.6987387807022,576.3033099434311,98
51,food,food,low_calorie,left,8,f/8.jpg,1756310677305,1756310683351,6046,716.5246166257285,398.251540974809,605.8991689662232,540.2572930870826,98
54,food,food,high_calorie,left,20,f/20.jpg,1756310686605,1756310692650,6045,663.8974232294847,519.0831112303905,694.7762352061467,980.8952983679477,98
57,food,food,low_calorie,left,3,f/3.jpg,1756310695694,1756310701741,6047,727.988160601486,771.8793921831368,605.6783231724103,594.5506401089731,98
60,food,food,high_calorie,left,9,f/9.jpg,1756310704994,1756310711039,6045,633.5863791126966,463.9622259728392,992.147798755944,703.6980569303765,98
63,food,food,low_calorie,left,4,f/4.jpg,1756310713873,1756310719920,6047,879.0883571831067,502.9968645420982,663.5076483006687,751.7832211689531,98
66,food,food,low_calorie,left,7,f/7.jpg,1756310723174,1756310729220,6046,787.2639565080333,623.2908423480872,921.8458272310861,627.216288175182,98
69,food,food,low_calorie,left,1,f/1.jpg,1756310732263,1756310738309,6046,806.1296545974476,777.080331653072,595.0218391144169,469.01064195201724,98
72,food,food,high_calorie,left,10,f/10.jpg,1756310741142,1756310747189,6047,565.5517736493117,774.3234944256635,638.4468514982609,532.7697469841772,98
75,body,body,thin,left,17,b/17.jpg,1756310752842,1756310758887,6045,758.8173762463757,613.4970881289175,664.4405971460945,706.268229859931,99
78,body,body,fat,left,3,b/3.jpg,1756310762094,1756310768125,6031,734.287534348416,598.9782601826363,965.0840327857159,649.3308177600948,98
81,body,body,fat,left,5,b/5.jpg,1756310770931,1756310776977,6046,901.269006946174,561.1372008667162,659.3258350583923,730.4607501520741,98
84,body,body,thin,left,12,b/12.jpg,1756310779983,1756310786006,6023,687.0961617948655,743.0256688318754,850.9631900177824,624.2684679538547,98
87,body,body,thin,left,14,b/14.jpg,1756310789050,1756310795097,6047,764.676575683664,432.1745801784131,861.1646939584848,505.44718907139514,98
90,body,body,thin,left,23,b/23.jpg,1756310798350,1756310804397,6047,737.0373376140717,467.7954682653941,629.6454510689564,481.05213543877176,98
93,body,body,thin,left,16,b/16.jpg,1756310807650,1756310813696,6046,677.9432899500061,428.8200757584065,713.9729428687087,494.7379572846208,98
96,body,body,thin,left,15,b/15.jpg,1756310816949,1756310822994,6045,719.994923821943,387.98245124610787,665.5443625953013,386.26281130298827,98
99,body,body,thin,left,24,b/24.jpg,1756310826039,1756310832085,6046,697.3686782594662,171.92216621074567,901.0204667192156,431.54909874287523,98
102,body,body,thin,left,20,b/20.jpg,1756310835338,1756310841383,6045,812.7061203620465,279.30751046847166,685.475700341599,473.04675784265476,98
105,body,body,thin,left,13,b/13.jpg,1756310844428,1756310850474,6046,745.4437281753737,596.9761554205894,681.5366819076364,594.9749716569389,98
108,body,body,fat,left,8,b/8.jpg,1756310853306,1756310859353,6047,643.9140951671,720.0367779148087,867.052816452729,457.7396688260891,98
111,body,body,fat,left,10,b/10.jpg,1756310862397,1756310868440,6043,837.8427430615139,631.9017880157633,733.8320902958257,446.5467745295314,98
114,body,body,fat,left,7,b/7.jpg,1756310871276,1756310877322,6046,781.0126421984135,499.3972051479277,897.0129395523655,550.4998105781276,98
117,body,body,fat,left,4,b/4.jpg,1756310880366,1756310886411,6045,817.1166483133057,644.1031756687341,744.5740063110412,595.5360836318278,98
120,body,body,thin,left,18,b/18.jpg,1756310889666,1756310895711,6045,736.3457866446681,548.2664155691513,886.4279183095624,431.04132751484747,98
123,body,body,fat,left,1,b/1.jpg,1756310898545,1756310904592,6047,855.1378401470217,400.9364115700895,823.1839783398067,553.3803684079309,98
126,body,body,thin,left,25,b/25.jpg,1756310907845,1756310913887,6042,783.1733861691873,505.6204102821289,630.668370717875,345.9826553116126,98
129,body,body,fat,left,2,b/2.jpg,1756310916724,1756310922771,6047,619.6456107451202,631.2384032116763,588.3145957060003,511.68285325391014,98
132,body,body,thin,left,19,b/19.jpg,1756310926024,1756310932071,6047,638.1052490007415,440.90488962410666,746.0690151199802,440.092647700867,98
135,body,body,fat,left,9,b/9.jpg,1756310935324,1756310941370,6046,711.0247400090237,349.3670592134083,846.1839490958425,342.85457185790733,98
138,body,body,thin,left,22,b/22.jpg,1756310944202,1756310950232,6030,785.9423328724636,276.80830792022664,804.8550641348103,677.9642238212284,98
141,body,body,fat,left,6,b/6.jpg,1756310953263,1756310959309,6046,743.1306736106403,735.2757538635102,853.981372078331,771.711017916603,98
144,body,body,fat,left,11,b/11.jpg,1756310962141,1756310968190,6049,771.6216168626905,573.100783548919,686.1159426572591,430.8076725046109,98
147,body,body,thin,left,21,b/21.jpg,1756310971442,1756310977489,6047,683.7028072766686,423.64399196598805,805.7731602915777,399.66737657386756,97
