trial_id,phase,image_type,image_attribute,image_position,original_index,image_src,start_time,end_time,duration,first_gaze_x,first_gaze_y,last_gaze_x,last_gaze_y,gaze_samples,dwell_time,first_fixation,regression_count
18,food,food,5_low_calorie,left,5,f/5.jpg,1756815802394,1756815808440,6046,605.33265071883,340.87162943336557,458.9117083740499,432.10564240106623,133,-980,-1,6
21,food,food,18_high_calorie,left,18,f/18.jpg,1756815811444,1756815817485,6041,543.3287796619356,318.0374327951276,354.553884267341,134.33530618604308,133,1800,1,5
24,food,food,15_high_calorie,left,15,f/15.jpg,1756815820488,1756815826521,6033,439.67045410007654,182.50692945494666,504.17911419305153,421.99394493098464,133,2140,1,2
27,food,food,11_high_calorie,left,11,f/11.jpg,1756815829724,1756815835758,6034,466.19366236412753,382.2089371454436,447.6136322924359,409.22460143284087,130,2500,1,2
30,food,food,17_high_calorie,left,17,f/17.jpg,1756815838762,1756815844818,6056,463.32245475897,372.23884969345795,472.91054030720596,404.1738336289448,135,2620,1,0
33,food,food,13_high_calorie,left,13,f/13.jpg,1756815848021,1756815854076,6055,399.4000976224814,240.38364548841685,457.5876261761254,395.05105085715576,136,2600,1,0
36,food,food,4_low_calorie,left,4,f/4.jpg,1756815857279,1756815863311,6032,467.7935318530063,372.49638179783443,677.4262432198847,318.6163926251452,134,-1280,-1,9
39,food,food,6_low_calorie,left,6,f/6.jpg,1756815866314,1756815872370,6056,648.1830450936409,325.30604414924414,409.4575786428051,327.1534416084485,136,-840,1,7
42,food,food,9_high_calorie,left,9,f/9.jpg,1756815875573,1756815881625,6052,444.2629530811063,324.22003088119925,674.4059913775034,413.0467656677495,133,140,1,7
45,food,food,16_high_calorie,left,16,f/16.jpg,1756815884829,1756815890888,6059,674.876809456568,373.7283831455215,611.6031910124384,695.5680546024707,135,1720,-1,4
48,food,food,3_low_calorie,left,3,f/3.jpg,1756815893892,1756815899945,6053,597.1913317677644,537.3062025912224,698.8426996218666,361.2586263162291,137,-2320,0,2
51,food,food,19_high_calorie,left,19,f/19.jpg,1756815903148,1756815909199,6051,646.8206784182275,381.8192462483689,331.57226052106506,505.6292889551216,137,1480,-1,3
54,food,food,2_low_calorie,left,2,f/2.jpg,1756815912002,1756815918056,6054,409.80299991949994,398.79131502516145,837.6509013297323,422.14730084882103,135,900,-1,7
57,food,food,8_low_calorie,left,8,f/8.jpg,1756815921058,1756815927109,6051,743.8397274819013,369.9467929921704,439.30014427993723,89.56479983546889,133,1260,1,2
60,food,food,20_high_calorie,left,20,f/20.jpg,1756815929913,1756815935971,6058,497.4934301788175,205.0280979235651,217.46583381406595,103.27240382534296,136,1420,1,5
63,food,food,7_low_calorie,left,7,f/7.jpg,1756815938773,1756815944806,6033,418.303730355089,238.4498347898119,752.2577175221405,486.3785059357421,130,-360,-1,10
66,food,food,1_low_calorie,left,1,f/1.jpg,1756815948010,1756815954064,6054,668.4442530792035,448.3359480303812,550.3326637351754,505.48149667051257,136,-740,1,11
69,food,food,12_high_calorie,left,12,f/12.jpg,1756815956866,1756815962914,6048,551.6321612080889,489.4001676684213,465.8872967088393,407.5752294075494,140,900,0,9
72,food,food,10_high_calorie,left,10,f/10.jpg,1756815966115,1756815972153,6038,540.2911119523612,457.0032544524597,551.5027620102044,412.63631270600166,139,260,1,6
75,food,food,14_high_calorie,left,14,f/14.jpg,1756815975356,1756815981401,6045,579.3367549684056,308.32199191358114,700.1310565442546,431.40393044052837,139,240,1,2
