trial_id,phase,image_type,image_attribute,image_position,original_index,image_src,start_time,end_time,duration,first_gaze_x,first_gaze_y,last_gaze_x,last_gaze_y,gaze_samples,dwell_time,first_fixation,regression_count
16,food,food,6_low_calorie,left,6,f/6.jpg,1758177220753,1758177226769,6016,907.1763293801343,427.4633230858461,901.518334005674,440.7914921360211,296,1820,1,13
19,food,food,19_high_calorie,left,19,f/19.jpg,1758177229772,1758177235788,6016,848.3116506184081,371.01090813507227,922.44989400023,482.8029018133786,273,-1700,-1,4
22,food,food,5_low_calorie,left,5,f/5.jpg,1758177238793,1758177244820,6027,853.7288950179284,474.6825219603339,766.2492514551144,455.52176229475526,286,-400,1,7
25,food,food,11_high_calorie,left,11,f/11.jpg,1758177247822,1758177253836,6014,736.0648620272594,414.89600383197046,963.5244192914543,448.9289703092358,296,-2900,1,5
28,food,food,2_low_calorie,left,2,f/2.jpg,1758177257040,1758177263054,6014,859.9375497029179,474.66541005972016,985.7717315641281,472.4573727884812,293,2780,1,2
31,food,food,14_high_calorie,left,14,f/14.jpg,1758177265857,1758177271889,6032,859.2808582588028,437.4716895171262,612.2833657646084,579.2213466501503,289,-420,-1,8
34,food,food,9_high_calorie,left,9,f/9.jpg,1758177274893,1758177280911,6018,662.790853598322,539.2714711208482,779.7010742079266,500.82859064192337,294,-2400,1,11
37,food,food,7_low_calorie,left,7,f/7.jpg,1758177283714,1758177289749,6035,787.5065009991881,495.28912570388377,970.0247315226857,423.3263151587684,196,1380,1,4
40,food,food,20_high_calorie,left,20,f/20.jpg,1758177292751,1758177298767,6016,831.1456869926193,464.95602561421697,477.7041943377573,602.2879532929425,293,-860,-1,14
43,food,food,15_high_calorie,left,15,f/15.jpg,1758177301969,1758177307984,6015,593.4151993829286,540.3685957387324,485.8156117090865,510.68929505140613,295,380,1,8
46,food,food,12_high_calorie,left,12,f/12.jpg,1758177311188,1758177317206,6018,620.1150042542828,473.70936193692563,874.2891766759384,438.4576452621764,295,100,1,13
49,food,food,1_low_calorie,left,1,f/1.jpg,1758177320208,1758177326224,6016,808.0065259519845,437.57202165239005,816.4602496072345,481.6009381030348,290,-1480,1,21
52,food,food,18_high_calorie,left,18,f/18.jpg,1758177329428,1758177335445,6017,678.8697075584744,500.3720197987834,755.6419312019796,420.5922485253573,295,-1120,1,8
55,food,food,4_low_calorie,left,4,f/4.jpg,1758177338449,1758177344466,6017,743.7470002857447,425.21936372990257,784.3670758410564,496.95458332797426,248,-540,-1,5
58,food,food,13_high_calorie,left,13,f/13.jpg,1758177347669,1758177353675,6006,774.118486000058,346.7546673736774,832.916261079999,462.3335276646545,271,2320,-1,9
61,food,food,10_high_calorie,left,10,f/10.jpg,1758177356478,1758177362516,6038,797.9015029383695,439.73101567764314,527.4226479679777,469.29542571039633,293,5240,-1,1
64,food,food,8_low_calorie,left,8,f/8.jpg,1758177365718,1758177371732,6014,573.7574813636086,495.0238773082385,708.6131025020946,434.9955961325728,216,-280,-1,13
67,food,food,17_high_calorie,left,17,f/17.jpg,1758177374536,1758177380558,6022,715.003824016891,473.5258950173191,510.96873570202,616.2651062179145,296,2500,1,12
70,food,food,16_high_calorie,left,16,f/16.jpg,1758177383562,1758177389579,6017,618.7847278514253,570.8386934748256,528.7840658361424,354.030126331472,298,2900,1,4
73,food,food,3_low_calorie,left,3,f/3.jpg,1758177392782,1758177398822,6040,628.552106029548,384.7428473735355,853.3998842414003,258.9704736057409,245,80,-1,6
82,body,body,24_thin,left,24,b/24.jpg,1758177451521,1758177457542,6021,885.340692487167,461.04269866807664,704.8287992533814,357.3069829599405,288,180,1,24
85,body,body,19_thin,left,19,b/19.jpg,1758177460345,1758177466379,6034,659.5660590780741,323.99437640000787,747.2954357410761,338.77158196729647,266,1980,-1,28
88,body,body,25_thin,left,25,b/25.jpg,1758177469384,1758177475420,6036,760.9299231194005,318.31503025349605,745.0598317573904,507.94482887470235,254,-1680,-1,26
91,body,body,2_fat,left,2,b/2.jpg,1758177478422,1758177484449,6027,711.7540889279032,442.71971156900247,729.8743736045243,278.5003682068552,228,600,1,32
94,body,body,1_fat,left,1,b/1.jpg,1758177487452,1758177493467,6015,704.0651063537811,297.0216094606513,570.5349754967126,416.23843737353275,291,3820,1,23
97,body,body,8_fat,left,8,b/8.jpg,1758177496271,1758177502305,6034,624.4932802744495,419.0852082303614,678.0946479754809,429.35956538730954,255,620,1,22
100,body,body,7_fat,left,7,b/7.jpg,1758177505109,1758177511132,6023,712.8347622060088,370.95954340623376,780.0898233800186,1055.077729740033,298,3300,1,22
103,body,body,15_thin,left,15,b/15.jpg,1758177514334,1758177520353,6019,803.1070949869305,770.1212727838174,633.685555213476,286.3360489232973,293,-1680,0,33
106,body,body,12_thin,left,12,b/12.jpg,1758177523362,1758177529377,6015,652.974001588333,232.3121200347027,783.0847735486404,259.5419018891364,289,-1280,-1,32
109,body,body,23_thin,left,23,b/23.jpg,1758177532181,1758177538226,6045,754.9542479426159,255.12114165588451,585.2881317094312,219.8442225032155,239,-1220,-1,24
112,body,body,10_fat,left,10,b/10.jpg,1758177541029,1758177547043,6014,641.6549333257456,291.15816951522527,724.5387323831544,291.40904047438823,295,2880,1,31
115,body,body,16_thin,left,16,b/16.jpg,1758177550246,1758177556283,6037,762.7678971954539,244.18140506400005,893.940767801914,60.88982962025918,239,-1800,-1,17
118,body,body,20_thin,left,20,b/20.jpg,1758177559487,1758177565514,6027,857.3478877152216,113.21167292343617,837.2837909269527,269.9983058349223,233,-1740,0,20
121,body,body,3_fat,left,3,b/3.jpg,1758177568318,1758177574335,6017,811.6460342583496,215.28690720671932,532.5948136141585,599.791752967169,297,1860,-1,23
124,body,body,17_thin,left,17,b/17.jpg,1758177577338,1758177583357,6019,637.7892332940896,551.7846085644622,818.9272315676162,317.3160543996132,293,-40,-1,30
127,body,body,18_thin,left,18,b/18.jpg,1758177586160,1758177592211,6051,752.1342986932818,285.85513872378874,745.4749061761736,359.93348922389026,283,920,-1,23
130,body,body,11_fat,left,11,b/11.jpg,1758177595215,1758177601232,6017,745.5960874826586,373.2422051851643,783.9475107816559,327.08494102185716,295,120,1,19
133,body,body,6_fat,left,6,b/6.jpg,1758177604034,1758177610047,6013,739.2627669765311,352.7074579519378,765.9266043855316,469.5236963182186,295,-2640,1,9
136,body,body,5_fat,left,5,b/5.jpg,1758177613049,1758177619069,6020,740.2584290976461,375.3666163982549,768.2407747789039,275.8522688489826,292,2680,1,15
139,body,body,22_thin,left,22,b/22.jpg,1758177622073,1758177628103,6030,770.9434080377791,247.96511819344124,721.9302440595794,402.4554097265376,288,-2400,1,22
142,body,body,13_thin,left,13,b/13.jpg,1758177631306,1758177637328,6022,765.6251127871893,293.8256959853434,645.281853366327,162.59217443151198,286,-1300,1,26
145,body,body,4_fat,left,4,b/4.jpg,1758177640131,1758177646150,6019,634.0292006485283,158.92500011523646,786.6924269243548,171.40674549682015,294,60,1,29
148,body,body,14_thin,left,14,b/14.jpg,1758177649365,1758177655383,6018,789.7671042622718,252.9340138184273,629.9862084482087,356.1803034108533,260,-1340,1,26
151,body,body,21_thin,left,21,b/21.jpg,1758177658387,1758177664415,6028,683.7816704379975,367.7026648033379,696.7845639028651,456.06188458533825,293,-1200,-1,30
154,body,body,9_fat,left,9,b/9.jpg,1758177667420,1758177673427,6007,718.3539800650975,442.1753779532548,800.967724756008,415.0428283700831,289,420,1,25
