trial_id,phase,image_type,image_attribute,image_position,original_index,image_src,start_time,end_time,duration,first_gaze_x,first_gaze_y,last_gaze_x,last_gaze_y,gaze_samples,dwell_time,first_fixation,regression_count
15,food,food,9_high_calorie,left,9,f/9.jpg,1756864146053,1756864152130,6077,1023.6079595602399,559.0063635932071,838.712566244542,600.9002164788952,81,-120,-1,5
18,food,food,12_high_calorie,left,12,f/12.jpg,1756864155145,1756864161219,6074,812.2216790909439,572.6852929110039,563.6374007789395,499.2771922115024,56,-120,-1,0
21,food,food,6_low_calorie,left,6,f/6.jpg,1756864164435,1756864170487,6052,623.780806014914,457.92413596053785,616.8870208637717,458.4608269028741,76,900,-1,2
24,food,food,14_high_calorie,left,14,f/14.jpg,1756864173299,1756864179387,6088,598.5692602074174,444.1444736121026,996.0426509231905,432.622581184658,64,320,1,1
27,food,food,18_high_calorie,left,18,f/18.jpg,1756864182617,1756864188706,6089,947.549673041128,419.2802547429845,604.0117810256955,409.4456881883748,62,-180,-1,3
30,food,food,15_high_calorie,left,15,f/15.jpg,1756864191519,1756864197587,6068,702.7595526755464,437.0412028640686,636.9478369563506,457.9401028248707,76,580,1,2
33,food,food,4_low_calorie,left,4,f/4.jpg,1756864200614,1756864206695,6081,753.7712898863616,492.79077050701017,655.810771601405,483.5298434822523,85,1480,1,2
36,food,food,20_high_calorie,left,20,f/20.jpg,1756864209524,1756864215595,6071,709.2459636745152,505.5708140145207,1025.078166078614,473.3742019351381,74,-900,1,1
39,food,food,5_low_calorie,left,5,f/5.jpg,1756864218617,1756864224720,6103,1056.9387839961644,326.1097914583113,620.4589100956593,615.1020594203499,80,1440,1,1
42,food,food,3_low_calorie,left,3,f/3.jpg,1756864227542,1756864233595,6053,709.1587768962816,597.3690027341365,711.7314422652926,605.6479915355742,84,860,-1,6
45,food,food,13_high_calorie,left,13,f/13.jpg,1756864236421,1756864242495,6074,781.0890603782776,560.8353021795022,1062.31475451375,532.0762182444594,97,-1460,-1,3
48,food,food,2_low_calorie,left,2,f/2.jpg,1756864245317,1756864251382,6065,924.232547528305,493.52391228257966,1038.8759831291459,547.4774226560911,73,760,1,9
51,food,food,17_high_calorie,left,17,f/17.jpg,1756864254601,1756864260660,6059,969.8855743472643,512.7843808183657,635.5808539379129,618.3673829091892,87,-940,-1,6
54,food,food,1_low_calorie,left,1,f/1.jpg,1756864263878,1756864269970,6092,737.4652466619935,612.5512841778236,1063.2119150871345,532.9569737884867,62,520,1,0
57,food,food,8_low_calorie,left,8,f/8.jpg,1756864273194,1756864279266,6072,1014.1060461612268,550.2078889281647,1149.3384516686153,549.2605808636516,73,980,1,2
60,food,food,11_high_calorie,left,11,f/11.jpg,1756864282078,1756864288165,6087,1115.2908402444687,481.42787887167765,1109.0687526410657,489.43923958551176,72,-760,0,4
63,food,food,10_high_calorie,left,10,f/10.jpg,1756864290986,1756864297045,6059,1031.487556856068,284.6064101746996,1142.1059291395516,429.8105721347738,85,-700,-1,4
66,food,food,7_low_calorie,left,7,f/7.jpg,1756864299865,1756864305925,6060,1030.925806480956,449.05917888758364,629.9776610736983,447.38406285747845,69,620,1,0
69,food,food,19_high_calorie,left,19,f/19.jpg,1756864309148,1756864315225,6077,714.4224376630377,494.0859812829674,667.2779829901854,458.2810667263783,72,-200,-1,6
72,food,food,16_high_calorie,left,16,f/16.jpg,1756864318249,1756864324318,6069,743.5767331700581,505.1760506196849,614.573991073646,413.4955314907324,70,60,-1,2
81,body,body,25_thin,left,25,b/25.jpg,1756864371541,1756864377617,6076,907.7655710368592,604.9940902019054,595.6526432319924,496.2042690834726,73,40,1,3
84,body,body,11_fat,left,11,b/11.jpg,1756864380830,1756864386942,6112,653.5915289499854,471.7007565554023,691.3533033952324,448.2711276173046,63,-340,1,7
87,body,body,2_fat,left,2,b/2.jpg,1756864389754,1756864395818,6064,714.0204279820671,461.1849991255282,947.9761467594643,816.5036679844341,85,-120,-1,7
90,body,body,14_thin,left,14,b/14.jpg,1756864398832,1756864404899,6067,932.0858370104869,648.6839614624375,730.7392264612248,591.3904488926167,93,320,0,12
93,body,body,24_thin,left,24,b/24.jpg,1756864408122,1756864414232,6110,815.3905446640387,595.5071482510756,822.8837753382817,617.0519711154171,100,480,1,6
96,body,body,4_fat,left,4,b/4.jpg,1756864417055,1756864423150,6095,885.3017648593351,581.5353148598774,861.727938088086,334.56688779190773,81,-920,-1,5
99,body,body,9_fat,left,9,b/9.jpg,1756864425961,1756864432075,6114,855.0644663015199,398.9227780104086,771.8356405621222,320.51403789084833,87,-820,-1,2
102,body,body,13_thin,left,13,b/13.jpg,1756864435302,1756864441376,6074,766.8317546089885,433.9753742804736,935.9558299308941,577.5153515401512,70,640,1,2
105,body,body,10_fat,left,10,b/10.jpg,1756864444386,1756864450449,6063,869.2822112272258,484.0103538944273,1000.7855395497222,616.8004697726155,90,-1220,-1,2
108,body,body,20_thin,left,20,b/20.jpg,1756864453671,1756864459803,6132,898.4668222540618,539.9443987910272,657.7884606210637,420.67506183367857,70,660,1,7
111,body,body,23_thin,left,23,b/23.jpg,1756864462825,1756864468948,6123,741.3004352390378,454.6517554064059,820.4501875042063,658.5212457106542,72,800,1,6
114,body,body,19_thin,left,19,b/19.jpg,1756864471763,1756864477829,6066,822.4723032283001,619.8886815464199,750.2211296338465,429.1032189504604,102,700,1,11
117,body,body,3_fat,left,3,b/3.jpg,1756864481061,1756864487127,6066,871.9848829612318,478.568204700887,648.5678083881979,493.66429293933595,85,-560,-1,9
120,body,body,7_fat,left,7,b/7.jpg,1756864490345,1756864496413,6068,676.5251077473921,445.32975690489167,886.6354843559792,614.1092648384971,76,-480,1,11
123,body,body,5_fat,left,5,b/5.jpg,1756864499629,1756864505702,6073,830.2613384682957,574.8167894320068,647.8388627517178,470.23477244779644,77,-940,-1,4
126,body,body,21_thin,left,21,b/21.jpg,1756864508929,1756864514997,6068,723.5749320364318,481.4207529586147,789.9359801734535,412.34145365593423,94,1080,1,4
129,body,body,1_fat,left,1,b/1.jpg,1756864518027,1756864524100,6073,734.9113365069105,447.3355659249039,799.286764568911,562.4231776456502,94,-340,-1,14
132,body,body,17_thin,left,17,b/17.jpg,1756864526921,1756864532966,6045,844.2583799216961,523.791450725763,803.737669379779,679.2205755969658,74,580,1,8
135,body,body,18_thin,left,18,b/18.jpg,1756864535789,1756864541868,6079,853.4055076028835,617.7143216003569,779.0924053728131,639.1433767341621,77,60,1,4
138,body,body,12_thin,left,12,b/12.jpg,1756864545080,1756864551148,6068,805.9073400845494,577.9829137995185,930.9135849107644,568.157396513374,76,500,1,13
141,body,body,6_fat,left,6,b/6.jpg,1756864554366,1756864560446,6080,934.5294547819842,573.2564351067352,907.8948439096343,646.3906906177923,71,-560,0,10
144,body,body,15_thin,left,15,b/15.jpg,1756864563663,1756864569774,6111,811.7558171222112,582.3480997652654,905.5321087807273,629.8412865285374,62,580,1,6
147,body,body,22_thin,left,22,b/22.jpg,1756864572587,1756864578694,6107,835.9773090330433,588.6454379157855,598.6077584404755,409.50378530362985,60,-180,1,5
150,body,body,8_fat,left,8,b/8.jpg,1756864581910,1756864587984,6074,699.3620031719651,478.08486205996985,849.8511534029651,776.2779770425352,78,-580,1,10
153,body,body,16_thin,left,16,b/16.jpg,1756864591204,1756864597274,6070,833.793627023319,694.8452523965091,981.9478446121873,-32.25978912443272,88,560,1,2
