trial_id,phase,image_type,image_attribute,image_position,original_index,image_src,start_time,end_time,duration,first_gaze_x,first_gaze_y,last_gaze_x,last_gaze_y,gaze_samples
18,food,food,low_calorie,left,3,f/3.jpg,1754566878538,1754566884573,6035,791.8513706007315,403.81169481087227,743.4059537201709,941.5749897923021,172
21,food,food,high_calorie,left,12,f/12.jpg,1754566887578,1754566893624,6046,572.5880670134452,824.9105037956829,643.8422246238617,1180.0325869556398,147
24,food,food,low_calorie,left,8,f/8.jpg,1754566896429,1754566902497,6068,447.1347723247389,1106.8355989334088,851.7773757946559,794.0905495254714,178
27,food,food,low_calorie,left,4,f/4.jpg,1754566905705,1754566911761,6056,870.2805156542665,886.2708675056599,667.7151115627153,1135.2676629996768,143
30,food,food,high_calorie,left,11,f/11.jpg,1754566914987,1754566921021,6034,242.37750503234716,1035.4667861314229,272.28386892577817,876.5034510402165,161
33,food,food,high_calorie,left,15,f/15.jpg,1754566924231,1754566930258,6027,297.0003255147105,893.2001870273789,319.13163390114164,922.8795203622685,145
36,food,food,low_calorie,left,5,f/5.jpg,1754566933475,1754566939511,6036,279.76339199254295,935.1294637717809,402.80869413404594,472.3746301991665,215
39,food,food,high_calorie,left,16,f/16.jpg,1754566942319,1754566948353,6034,379.21335191506915,438.5937675895615,419.4893396579087,639.8311669492745,266
42,food,food,high_calorie,left,9,f/9.jpg,1754566951369,1754566957409,6040,347.24077625287686,630.6327210739765,255.23269167153006,884.2000611265343,214
45,food,food,high_calorie,left,17,f/17.jpg,1754566960220,1754566966254,6034,383.8679946207679,878.4206249474441,946.3806363430655,895.5162871527903,212
48,food,food,low_calorie,left,2,f/2.jpg,1754566969067,1754566975121,6054,750.5949693387458,957.268470721862,660.273299477674,960.9117304640976,215
51,food,food,low_calorie,left,7,f/7.jpg,1754566977939,1754566983964,6025,695.4529732661294,936.2102713331996,743.5825650711361,1090.6165318218777,214
54,food,food,high_calorie,left,19,f/19.jpg,1754566986986,1754566993027,6041,654.1467154957323,1029.7321306476695,646.5934501988007,818.0994537149461,247
57,food,food,high_calorie,left,13,f/13.jpg,1754566996035,1754567002060,6025,617.3985824950518,896.163737804586,660.0504924602658,926.0031452518243,217
60,food,food,high_calorie,left,18,f/18.jpg,1754567004872,1754567010900,6028,967.402835890596,835.4386178088757,773.6751022487601,825.9462618061536,227
63,food,food,high_calorie,left,10,f/10.jpg,1754567013918,1754567019937,6019,799.0577057209255,897.2684693083218,1034.2109292216048,751.1892609585494,261
66,food,food,low_calorie,left,1,f/1.jpg,1754567022754,1754567028786,6032,975.6558246221072,725.0437249559477,1127.5430302728996,590.3867812271014,230
69,food,food,high_calorie,left,20,f/20.jpg,1754567031795,1754567037813,6018,1047.8991588615372,588.2407310279725,991.5730709089125,756.4716829865895,209
72,food,food,high_calorie,left,14,f/14.jpg,1754567041020,1754567047048,6028,1182.2247440311714,784.4950839555157,1233.0717042209717,574.0262543668838,222
75,food,food,low_calorie,left,6,f/6.jpg,1754567049851,1754567055887,6036,1205.1913610519032,662.0549812701981,1033.2068872639493,704.0236444277591,236
78,body,body,thin,left,23,b/23.jpg,1754567069756,1754567075791,6035,869.7969539813467,630.5961066558586,62.84520206058363,1274.3482095402894,145
81,body,body,thin,left,20,b/20.jpg,1754567078797,1754567084828,6031,129.5689624049794,1245.1944648401884,480.31979207694235,1250.4711850231076,216
84,body,body,fat,left,5,b/5.jpg,1754567087647,1754567093679,6032,590.5134717071697,1539.2811772417194,520.1383562484546,1398.706644469544,233
87,body,body,thin,left,21,b/21.jpg,1754567096493,1754567102531,6038,680.9584597436715,1351.2228693307322,2585.2090346427426,310.99695572688626,230
90,body,body,fat,left,8,b/8.jpg,1754567105545,1754567111582,6037,1851.9096124211424,681.984538395645,709.3708570957712,1051.4566094818058,157
93,body,body,fat,left,9,b/9.jpg,1754567114411,1754567120449,6038,598.2697901729517,1222.3188726976987,437.03325382490954,994.8076077540705,174
96,body,body,thin,left,25,b/25.jpg,1754567123274,1754567129326,6052,483.5647572782518,961.1738659028451,142.0396317507708,689.0232535788757,149
99,body,body,thin,left,18,b/18.jpg,1754567132329,1754567138350,6021,-1.3703471764749793,745.9690134852825,641.0202748697801,1083.074456147308,82
102,body,body,fat,left,7,b/7.jpg,1754567141563,1754567147601,6038,406.5619570024867,999.3898372855688,131.5554528125785,1034.2201336081635,70
105,body,body,thin,left,16,b/16.jpg,1754567150603,1754567156648,6045,-89.6247733529539,1038.7218314541121,89.87967943048054,742.7182974696444,52
108,body,body,fat,left,4,b/4.jpg,1754567159450,1754567165461,6011,580.3083521786364,510.8198403128866,-161.61287255568442,829.8587499493331,135
111,body,body,fat,left,6,b/6.jpg,1754567168282,1754567174306,6024,955.1521111303229,771.3344129358436,16.219192883360265,1201.850846315963,55
